Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,position.latitude,position.longitude,position.altitude
1660222255.6667385,3485,1660222255,665910959,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222255.7689366,3486,1660222255,768445968,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222255.8670568,3487,1660222255,866494894,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222255.9679213,3488,1660222255,967344999,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222256.0668104,3489,1660222256,66205024,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222256.1685057,3490,1660222256,167876005,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222256.2664456,3491,1660222256,266050100,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222256.36629,3492,1660222256,365711927,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222256.4681933,3493,1660222256,467371940,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222256.5673964,3494,1660222256,566386938,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222256.6686769,3495,1660222256,667655944,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222256.7680235,3496,1660222256,767620086,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222256.868667,3497,1660222256,867763996,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222256.9672847,3498,1660222256,966363906,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222257.0674188,3499,1660222257,66890954,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222257.166827,3500,1660222257,166379928,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222257.2677407,3501,1660222257,267522096,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222257.3678088,3502,1660222257,367337942,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222257.465638,3503,1660222257,465150117,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222257.5669515,3504,1660222257,566200017,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222257.6679199,3505,1660222257,667515039,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222257.767541,3506,1660222257,766762018,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222257.8660624,3507,1660222257,865593910,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222257.9666934,3508,1660222257,965982913,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222258.0683844,3509,1660222258,67967891,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222258.165795,3510,1660222258,165429115,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222258.2685423,3511,1660222258,268268108,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222258.3659246,3512,1660222258,365560054,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222258.4711497,3513,1660222258,470164060,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222258.5670452,3514,1660222258,566358089,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222258.6701312,3515,1660222258,669318914,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222258.7657585,3516,1660222258,765110969,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222258.872543,3517,1660222258,872041940,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222258.9673734,3518,1660222258,966706037,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222259.0662751,3519,1660222259,65848112,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222259.166751,3520,1660222259,165767908,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222259.2689462,3521,1660222259,268651962,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222259.367052,3522,1660222259,366782903,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222259.4683654,3523,1660222259,467271089,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222259.570754,3524,1660222259,569669961,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222259.667042,3525,1660222259,665966033,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222259.7661939,3526,1660222259,765377998,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222259.8658304,3527,1660222259,865179061,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222259.9677842,3528,1660222259,966746091,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222260.0656374,3529,1660222260,65144062,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222260.166962,3530,1660222260,166341066,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222260.2649715,3531,1660222260,264591932,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222260.3662724,3532,1660222260,365883111,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222260.4691436,3533,1660222260,468242883,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222260.5661426,3534,1660222260,565898895,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222260.6765993,3535,1660222260,675663948,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222260.7680123,3536,1660222260,767055988,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222260.868556,3537,1660222260,867845058,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222260.9668715,3538,1660222260,966119050,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222261.0678887,3539,1660222261,67019939,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222261.1665723,3540,1660222261,166239976,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222261.267972,3541,1660222261,267726898,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222261.3659286,3542,1660222261,365492105,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222261.465732,3543,1660222261,465244054,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222261.5672653,3544,1660222261,566123962,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222261.6677659,3545,1660222261,667082071,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222261.7688813,3546,1660222261,768021106,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222261.8666396,3547,1660222261,866226911,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222261.9682841,3548,1660222261,967525005,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222262.0670865,3549,1660222262,66359043,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222262.171427,3550,1660222262,171004056,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222262.2670672,3551,1660222262,266742944,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222262.3659503,3552,1660222262,365130901,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222262.4720008,3553,1660222262,470757007,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222262.5691028,3554,1660222262,568228006,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222262.6671624,3555,1660222262,666523933,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222262.7707658,3556,1660222262,769375085,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222262.8675897,3557,1660222262,866780996,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222262.9705474,3558,1660222262,969634056,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222263.0678236,3559,1660222263,67383050,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222263.1773055,3560,1660222263,176923990,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222263.267807,3561,1660222263,267440080,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222263.3700101,3562,1660222263,369445085,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222263.4699836,3563,1660222263,469680070,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222263.5721266,3564,1660222263,571155071,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222263.6674938,3565,1660222263,667159080,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222263.7663906,3566,1660222263,765702962,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222263.86772,3567,1660222263,867033004,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222263.967995,3568,1660222263,967138051,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222264.0661466,3569,1660222264,65550088,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222264.1708965,3570,1660222264,167340993,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222264.2677207,3571,1660222264,267266035,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222264.3674462,3572,1660222264,366856098,,-2.1211356453528936,-2.0610576047509426,-1.0
