Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,lat,lon,sample
1660222299.1678052,392,1660222299,147876024,,59.3002005893875,18.731496286539823,7.8074016237440755
1660222300.16754,393,1660222300,147679090,,59.300206797413104,18.731505396264197,8.044945543325799
1660222301.1645916,394,1660222301,147907018,,59.300203846809836,18.731499268148127,7.892757033886118
1660222302.1624756,395,1660222302,147631883,,59.300213351320714,18.73150941863628,8.155672171404126
1660222303.1648624,396,1660222303,147739887,,59.30022124729499,18.731515401947263,8.276321423223154
1660222304.1662738,397,1660222304,148200035,,59.30022135644082,18.73151474537974,8.268779537706134
1660222305.1695404,398,1660222305,147965908,,59.30022083126725,18.731514053971296,8.256830588348803
1660222306.1687152,399,1660222306,148217916,,59.300226989429426,18.73152156099502,8.216643412265482
1660222307.1668057,400,1660222307,148091077,,59.30024355214808,18.731529603456465,7.827840359198562
1660222308.1717134,401,1660222308,148128032,,59.30024224569282,18.731528943160356,7.858918358860656
1660222309.1744568,402,1660222309,147855997,,59.300237760259584,18.731521126002576,7.898549831637647
1660222310.1717112,403,1660222310,147949934,,59.300236512242364,18.731514028916195,7.850984986087697
1660222311.1675255,404,1660222311,151657104,,59.300237293488074,18.73150653654875,7.7222868490115815
1660222312.1714144,405,1660222312,147640943,,59.3002486667129,18.731513391367457,7.50643205582937
1660222313.1647913,406,1660222313,148178100,,59.30025345497092,18.731519554166994,7.374388900208449
1660222314.1694272,407,1660222314,148112058,,59.300255606284395,18.731527509572743,7.431505600269579
1660222315.1619503,408,1660222315,147880077,,59.30025560137872,18.73152597311423,7.403906042316555
1660222316.163434,409,1660222316,147654056,,59.30025696875804,18.731527955007778,7.397371548110475
1660222317.1730344,410,1660222317,147784948,,59.300255098793066,18.73152641583738,7.426935455069729
1660222318.1656291,411,1660222318,148005962,,59.300253508154654,18.731523562227494,7.434187358565364
1660222319.1627617,412,1660222319,147795915,,59.30025328018461,18.731528339121496,7.517821386357287
1660222320.1670675,413,1660222320,147716999,,59.300254729521306,18.73153816655679,7.661245195493619
1660222321.165383,414,1660222321,147838115,,59.3002523609605,18.73154016038518,7.7625457300950815
1660222322.1638145,415,1660222322,147731065,,59.300255381453674,18.731552013207192,7.9617852200797845
1660222323.1650913,416,1660222323,147808074,,59.30025677454651,18.73156164236775,8.141697203260005
1660222324.1745107,417,1660222324,148477077,,59.30025807968583,18.73156251533169,8.128781969407552
1660222325.1611907,418,1660222325,147696971,,59.30025835795067,18.73156474690552,8.171429056982925
1660222326.1638322,419,1660222326,148274898,,59.30026119128477,18.731567427260757,8.133556229113616
1660222327.164887,420,1660222327,147954940,,59.30026161103878,18.731567493234024,8.121501020440117
1660222328.1661413,421,1660222328,148480892,,59.30025055401691,18.731541355676768,7.830635957425549
1660222329.162316,422,1660222329,148168087,,59.30024101290697,18.731527094742432,7.873634160855655
1660222330.1688192,423,1660222330,147717952,,59.300240568598355,18.731540262073963,8.083417142555959
1660222331.1621006,424,1660222331,147747993,,59.300245820678406,18.731542082015608,7.974139440866141
1660222332.172664,425,1660222332,147788047,,59.30023739488655,18.731540687685538,8.181198430826655
1660222333.1726,426,1660222333,147783994,,59.30023187727475,18.731543386586736,8.381326255410642
1660222334.167976,427,1660222334,147842884,,59.30023075180498,18.731545161621057,8.440658871617485
1660222335.1674562,428,1660222335,147690057,,59.30024326490974,18.73155330549139,8.280839886026149
1660222336.1642785,429,1660222336,147699117,,59.30025032289524,18.731557211025233,8.207841817195092
1660222337.1775696,430,1660222337,147669076,,59.3002526715457,18.731563286206892,8.300204113679321
1660222338.183846,431,1660222338,147700071,,59.300252105934376,18.731564903049957,8.370063215604935
1660222339.1647556,432,1660222339,147701978,,59.30025459327019,18.731568076612234,8.382873195607026
1660222340.163917,433,1660222340,148180007,,59.3002559817117,18.731570690785702,8.40332076324007
1660222341.166881,434,1660222341,147687911,,59.30024822175027,18.731566982952245,8.563002228469708
1660222342.1641278,435,1660222342,147749900,,59.30025016784344,18.731564095979138,8.399635824449797
1660222343.1664627,436,1660222343,148312091,,59.30024924749679,18.73155536036461,8.19494454193827
1660222344.170929,437,1660222344,147736072,,59.30024365770078,18.731544770774235,8.091066528990096
1660222345.1634316,438,1660222345,148070096,,59.30024116090863,18.731538173540685,8.023681312313721
1660222346.165697,439,1660222346,148063898,,59.30024712357779,18.731557158947,8.284048207672353
1660222347.1642542,440,1660222347,147727966,,59.30024525709876,18.731549852623857,8.160651808195604
1660222348.163438,441,1660222348,147810935,,59.30025024900152,18.731548094851973,7.997320828593438
1660222349.1651804,442,1660222349,147640943,,59.300247292146906,18.73153757486375,7.827494284574371
1660222350.1729162,443,1660222350,147659063,,59.3002530225698,18.73153552342137,7.6394269115461215
1660222351.1627045,444,1660222351,147690057,,59.300260902009725,18.73153826228088,7.520109150657875
1660222352.1684322,445,1660222352,147650957,,59.30026177949326,18.731535236872332,7.438009160010457
1660222353.1716318,446,1660222353,148227930,,59.300263694088876,18.731533156866362,7.336893949373378
1660222354.175504,447,1660222354,148474931,,59.30026582330715,18.731535608569857,7.354911904696787
1660222355.1705363,448,1660222355,148580074,,59.300266675288945,18.731524624465237,6.990615423602541
